id,MontoCredito,IngresoNeto,CoefCreditoAvaluo,MontoCuota,GradoAcademico,BuenPagador
1,1,2,11,4,2,?
2,1,1,11,4,2,?
3,1,1,11,4,2,?
4,1,1,11,4,2,?
5,1,1,11,4,2,?
6,2,1,11,4,2,?
7,1,2,11,4,2,?
8,1,1,11,4,2,?
9,1,1,11,4,2,?
10,1,1,11,4,2,?
11,2,2,11,4,2,?
12,1,2,11,4,2,?
13,1,2,11,4,2,?
14,1,1,11,4,2,?
15,1,2,7,4,2,?
16,2,2,11,4,2,?
17,2,2,11,4,2,?
18,1,1,11,4,2,?
19,2,2,12,4,2,?
20,2,2,11,4,2,?
21,2,2,11,4,2,?
22,1,2,11,4,2,?
23,2,2,12,4,1,?
24,1,2,12,4,1,?
25,1,2,12,4,1,?
26,1,2,12,4,1,?
27,1,1,11,4,2,?
28,1,1,11,4,2,?
29,2,2,12,4,2,?
30,1,2,11,4,2,?
31,2,2,11,4,2,?
32,1,1,11,4,2,?
33,1,2,11,4,2,?
34,1,1,11,4,2,?
35,2,2,11,4,2,?
36,3,1,4,4,2,?
37,1,2,6,4,2,?
38,2,2,11,4,2,?
39,1,2,6,4,2,?
40,1,1,11,4,2,?
41,3,1,11,3,2,?
42,2,2,11,2,2,?
43,1,2,6,3,2,?
44,1,2,11,3,2,?
45,1,2,11,3,2,?
46,4,1,11,4,2,?
47,4,2,11,1,1,?
48,1,2,11,1,2,?
49,4,2,11,1,1,?
50,4,2,11,2,2,?
51,1,2,12,2,1,?
52,1,2,7,2,2,?
53,3,1,12,4,2,?
54,1,1,11,2,2,?
55,1,1,11,2,2,?
56,1,1,11,2,2,?
57,4,1,12,2,1,?
58,1,2,11,1,2,?
59,2,2,12,1,1,?
60,4,2,12,2,1,?
61,1,2,11,2,2,?
62,1,2,11,2,2,?
63,1,2,6,3,2,?
64,3,1,11,3,2,?
65,4,1,11,3,2,?
66,3,1,4,3,1,?
67,4,1,11,1,1,?
68,3,1,11,2,1,?
69,3,1,11,3,1,?
70,3,1,1,3,1,?
71,1,1,1,2,1,?
72,4,1,1,2,1,?
73,3,1,11,3,2,?
74,3,1,12,1,2,?
75,2,1,12,2,2,?
76,4,1,12,4,2,?
77,4,1,12,4,2,?
78,3,1,12,4,2,?
79,3,1,12,4,2,?
80,3,1,12,4,2,?
81,3,1,12,4,2,?
